,City,Temperature,Humidity,Cloudiness,Wind Speed,Latitude,Longitude
0,Severo-Kuril'sk,26.74,91,28,17.47,50.68,156.12
1,Chui,66.29,81,2,9.91,-33.7,-53.46
2,Kavaratti,86.02,64,1,2.08,10.57,72.64
3,Mataura,44.01,82,45,7.0,-46.19,168.86
4,Tuatapere,44.01,82,54,7.0,-46.13,167.68
5,Dikson,35.44,94,100,17.13,73.51,80.55
6,Qandala,86.68,61,62,8.99,11.47,49.87
7,Barrow,8.6,78,90,5.82,71.29,-156.79
8,Garissa,89.22,51,100,18.97,-0.45,39.64
9,Busselton,53.83,53,29,9.15,-33.65,115.33
10,Ushuaia,41.0,80,82,5.82,-54.8,-68.3
11,Rikitea,76.73,69,53,6.91,-23.12,-134.97
12,Albany,41.56,55,27,5.77,42.6,-73.97
13,Hervey Bay,69.49,94,75,2.75,-25.3,152.85
14,Pevek,2.82,94,100,5.19,69.7,170.31
15,Vaini,77.0,88,40,5.82,-21.2,-175.2
16,Puerto Ayora,78.89,94,40,9.17,-0.74,-90.35
17,Jamestown,41.52,69,1,14.99,42.1,-79.24
18,Xiuyan,48.79,83,100,8.59,40.29,123.27
19,Butaritari,83.07,78,90,16.31,3.07,172.79
20,Ancud,46.4,87,90,8.05,-41.87,-73.82
21,Forsytheganj,47.25,49,100,10.67,52.63,29.73
22,Les Cayes,79.57,75,11,8.81,18.2,-73.75
23,Balotra,100.51,15,68,8.14,25.83,72.23
24,Punta Arenas,43.43,75,40,16.11,-53.15,-70.92
25,Faanui,82.63,77,100,14.25,-16.48,-151.75
26,Esperance,60.8,72,90,10.29,-33.87,121.9
27,Hamilton,42.4,86,90,9.17,39.18,-84.53
28,Norman Wells,28.4,92,90,17.22,65.28,-126.83
29,Bredasdorp,82.4,37,100,20.8,-34.53,20.04
30,Zhoucheng,56.44,72,38,9.35,35.91,116.31
31,Upernavik,22.51,86,84,15.35,72.79,-56.15
32,Coquimbo,53.6,100,90,1.12,-29.95,-71.34
33,Cherskiy,-1.75,92,82,9.57,68.75,161.3
34,Labytnangi,34.57,96,100,6.2,66.66,66.42
35,Hobart,47.5,87,75,1.12,-42.88,147.33
36,Mar del Plata,62.49,82,75,9.17,-38.0,-57.56
37,Castro,59.32,57,73,5.57,-24.79,-50.01
38,Lincoln,47.03,72,63,10.56,40.8,-96.67
39,Kapaa,69.28,73,20,10.29,22.08,-159.32
40,Ranau,84.06,89,20,1.12,5.95,116.66
41,Atuona,82.53,76,28,16.33,-9.8,-139.03
42,Ajdabiya,77.07,27,1,3.4,30.76,20.23
43,Saskylakh,20.84,91,0,7.2,71.92,114.08
44,Hermanus,78.01,51,82,8.01,-34.42,19.23
45,Carnarvon,75.2,83,56,12.75,-24.87,113.63
46,Itarema,86.0,74,20,4.18,-2.92,-39.92
47,Tuktoyaktuk,3.61,94,70,10.09,69.45,-133.04
48,George Town,84.96,83,20,2.24,5.41,100.34
49,Mahina,78.39,78,75,2.24,-17.51,-149.49
50,Bambous Virieux,80.31,69,40,11.41,-20.34,57.76
51,Port Alfred,77.0,72,21,1.99,-33.59,26.89
52,Lufilufi,75.2,94,90,4.7,-13.87,-171.6
53,Dargaville,60.39,77,100,3.15,-35.93,173.88
54,Mnogovershinnyy,19.9,95,100,8.55,53.94,139.92
55,East London,80.6,61,0,10.29,-33.02,27.91
56,Faya,70.7,64,40,20.8,18.39,42.45
57,Geraldton,64.06,72,75,6.93,-28.77,114.6
58,Narsaq,26.6,68,74,9.17,60.92,-46.05
59,Tiksi,11.17,84,58,7.02,71.69,128.87
60,Tromsø,39.7,93,75,6.93,69.65,18.96
61,Mackay,71.19,88,40,5.82,-21.15,149.2
62,Kununurra,82.4,69,44,6.93,-15.77,128.73
63,Hithadhoo,85.23,71,23,10.71,-0.6,73.08
64,Chokurdakh,8.6,95,97,10.47,70.63,147.92
65,Sola,77.0,100,20,6.04,-13.88,167.55
66,Houston,72.72,94,90,4.38,29.76,-95.36
67,Ponta do Sol,64.58,55,60,7.0,32.67,-17.1
68,Beyla,87.28,45,94,4.18,8.68,-8.63
69,Maniitsoq,24.76,91,99,37.56,65.42,-52.9
70,Sterling,42.82,66,20,4.7,39.01,-77.43
71,Pangai,80.6,78,20,19.46,-19.8,-174.35
72,Atar,80.6,34,0,16.11,20.52,-13.05
73,Saint Paul Harbor,42.8,87,90,5.82,57.79,-152.41
74,Media Luna,78.06,72,0,3.27,20.14,-77.44
75,Saposoa,68.0,100,75,1.03,-6.93,-76.77
76,Hafizabad,87.87,23,77,5.21,32.07,73.69
77,Dwārka,81.28,81,41,13.71,22.24,68.97
78,Yilan,79.41,39,65,4.68,24.76,121.75
79,Alofi,77.0,88,0,10.29,-19.06,-169.92
80,Inhambane,82.4,51,40,6.93,-23.86,35.38
81,Kaitangata,49.68,51,75,13.0,-46.28,169.85
82,Los Llanos de Aridane,65.82,53,20,13.87,28.66,-17.92
83,Marsh Harbour,78.33,73,1,0.98,26.54,-77.06
84,Makkah al Mukarramah,93.65,35,65,22.82,21.43,39.83
85,Poronaysk,31.35,97,84,8.52,49.22,143.12
86,Micheweni,81.16,79,100,15.61,-4.97,39.83
87,New Norfolk,46.99,84,99,3.47,-42.78,147.06
88,Omboué,86.16,67,12,3.51,-1.57,9.26
89,Matagami,8.6,84,90,18.34,49.75,-77.63
90,Chapais,32.0,95,90,11.41,49.78,-74.85
91,Saint Anthony,36.05,74,1,13.87,45.02,-93.22
92,Richards Bay,78.75,57,3,13.35,-28.78,32.04
93,Pisco,68.0,82,75,8.05,-13.7,-76.22
94,Krasnyy Chikoy,25.48,65,71,7.76,50.36,108.75
95,Coyhaique,41.49,81,75,8.05,-45.58,-72.07
96,Ribeira Grande,60.8,67,40,28.86,38.52,-28.7
97,Bluff,44.01,82,90,7.0,-46.6,168.33
98,Khatanga,23.54,95,9,6.62,71.97,102.5
99,Qaanaaq,13.48,82,86,15.19,77.48,-69.36
100,Nikolskoye,41.88,70,75,11.18,59.7,30.79
101,Aleksandrovskiy Zavod,25.11,68,66,10.04,50.92,117.94
102,Arraial do Cabo,75.97,78,40,5.82,-22.97,-42.03
103,Istok,77.0,17,40,11.41,42.78,20.49
